time,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,force_x,force_y,force_z,torque_x,torque_y,torque_z
2024-08-03 22:03:10.015532,7.074847049892696e-05,0.001075288091049847,0.0,-1.5699951619724952,-0.0031729075051708648,0.0,-1.3018824008170782e-05,0.0013976149234093717,0.0,-1.5699811649706072,4.7037908923594474e-05,0.0,-1.986264450071218e-05,-0.0010751871467929996,0.0,-1.6992926048509105e-05,-0.00034003035179912885,0.0,,,,,,
2024-08-03 22:03:10.015806,7.074847049892696e-05,0.0010752880910790618,0.0,-1.5699951619724952,-0.0031729075052379504,0.0,-1.3018824007282603e-05,0.0013976149235545754,0.0,-1.5699811649706072,4.703790888125551e-05,0.0,-1.9862644501600357e-05,-0.0010751871468555898,0.0,-1.6992926046732748e-05,-0.00034003035174305337,0.0,,,,,,
2024-08-03 22:03:10.015975,7.074847049803878e-05,0.0010752880910394503,0.0,-1.5699951619724952,-0.003172907505168557,0.0,-1.3018824007282603e-05,0.0013976149234878237,0.0,-1.5699811649706072,4.703790889277093e-05,0.0,-1.986264450071218e-05,-0.0010751871467578695,0.0,-1.6992926048509105e-05,-0.00034003035180449294,0.0,,,,,,
2024-08-03 22:03:10.016128,7.074847049892696e-05,0.0010752880910926978,0.0,-1.5699951619724952,-0.003172907505258114,0.0,-1.3018824006394425e-05,0.0013976149234755106,0.0,-1.5699811649706072,4.703790912439099e-05,0.0,-1.986264450071218e-05,-0.0010751871468728702,0.0,-1.6992926047620927e-05,-0.0003400303518423059,0.0,,,,,,
2024-08-03 22:03:10.016278,7.074847049892696e-05,0.0010752880910461877,0.0,-1.5699951619724952,-0.0031729075052261873,0.0,-1.3018824008170782e-05,0.0013976149235733516,0.0,-1.5699811649706072,4.7037908971996295e-05,0.0,-1.986264450071218e-05,-0.0010751871468594508,0.0,-1.6992926048509105e-05,-0.0003400303519109141,0.0,,,,,,
2024-08-03 22:03:10.016423,7.074847049892696e-05,0.0010752880910851526,0.0,-1.5699951619724952,-0.003172907505238757,0.0,-1.3018824007282603e-05,0.0013976149235470203,0.0,-1.5699811649706072,4.703790918762969e-05,0.0,-1.986264450071218e-05,-0.0010751871469574985,0.0,-1.6992926047620927e-05,-0.0003400303520447584,0.0,,,,,,
2024-08-03 22:03:10.016581,7.074847049892696e-05,0.0010752880910415623,0.0,-1.5699951619724952,-0.0031729075051664304,0.0,-1.3018824008170782e-05,0.001397614923536281,0.0,-1.5699811649706064,4.7037908972647575e-05,0.0,-1.986264450071218e-05,-0.0010751871467808464,0.0,-1.6992926047620927e-05,-0.00034003035186724797,0.0,,,,,,
2024-08-03 22:03:10.016755,7.074847049892696e-05,0.001075288091012069,0.0,-1.5699951619724952,-0.003172907505219709,0.0,-1.3018824006394425e-05,0.001397614923578874,0.0,-1.5699811649706064,4.703790913098359e-05,0.0,-1.986264450071218e-05,-0.0010751871467371175,0.0,-1.6992926047620927e-05,-0.0003400303518965685,0.0,,,,,,
2024-08-03 22:03:10.016904,7.074847049892696e-05,0.001075288091036568,0.0,-1.5699951619724952,-0.0031729075052301164,0.0,-1.3018824007282603e-05,0.001397614923575811,0.0,-1.5699811649706072,4.70379091479249e-05,0.0,-1.986264450071218e-05,-0.001075187146900912,0.0,-1.6992926048509105e-05,-0.000340030351895953,0.0,,,,,,
2024-08-03 22:03:10.017048,7.074847049892696e-05,0.0010752880910767087,0.0,-1.5699951619724952,-0.0031729075051869756,0.0,-1.3018824007282603e-05,0.0013976149235505756,0.0,-1.5699811649706081,4.703790881244456e-05,0.0,-1.986264450071218e-05,-0.001075187146982407,0.0,-1.6992926047620927e-05,-0.0003400303516100518,0.0,,,,,,
